index,Belawan,Tanjung Priok,Tanjung Perak,Balikpapan,Makassar,Tahun
January,12455,6691,24133,16275,39728,2016
February,4377,6911,13993,16537,24732,2016
March,3705,5965,11114,7346,19215,2016
April,3056,5040,11088,9736,19571,2016
May,4909,4521,12373,32700,24615,2016
June,4706,9192,16461,13642,43973,2016
July,16780,20657,81139,24368,54800,2016
August,6082,17141,40224,9436,33815,2016
September,4269,8460,16515,13327,26233,2016
October,2916,7764,18448,15513,27753,2016
November,2648,7150,13678,9441,25199,2016
December,6092,12818,17459,12184,26241,2016
January,12364,5286,22477,8316,28941,2017
February,3659,6303,13035,8076,17871,2017
March,3726,4601,14186,6811,21146,2017
April,3813,4285,9697,9203,18515,2017
May,3733,4387,12492,10105,23466,2017
June,6255,16777,12753,10105,38548,2017
July,17949,16649,107208,18880,51437,2017
August,4175,11237,50980.5,12034,25687,2017
September,3805,5469,17584,10992,23768,2017
October,2284,4686,16800,8953,20319,2017
November,2095,5285,11681,10318,20345,2017
December,6544,11503,15564,16320,26146,2017
January,13993,4730,15626,9325,25476,2018
February,3061,6152,13951,5973,14917,2018
March,2642,3921,13392,17077,15539,2018
April,2710,4474,11208,14388,15256,2018
May,2804,5815,13393,11347,23238,2018
June,6139,22586,67227,15963,49913,2018
July,12001,14596,80087,15270,44199,2018
August,3756,7828,20212,12666,23506,2018
September,4233,6452,20753,16089,20319,2018
October,2616,5515,17569,9863,20233,2018
November,3975,6973,16393,12561,22530,2018
December,9600,17864,19999,22027,34099,2018
January,22492,11842,24010,12941,33603,2019
February,33003,13971,24578,12525,24443,2019
March,10765,15078,22442,13681,25457,2019
April,10258,16634,23515,15003,29566,2019
May,10621,19659,29046,38786,50545,2019
June,25687,38098,77413,46285,70160,2019
July,16102,31495,48665,27309,62905,2019
August,10904,21625,33141,17557,34872,2019
September,9948,20478,43024,22302,36133,2019
October,2320,15685,45533,16559,35435,2019
November,7272,15269,38769,18806,33723,2019
December,24847,29623,47618,21522,45704,2019
January,21342,17210,19639,17391,40819,2020
February,9788,11392,11338,11188,26289,2020
March,6261,10518,44439,11085,26698,2020
April,227,2646,7892,2949,4954,2020
May,0,30,2810,245,118,2020
June,52,68,5048,2368,2228,2020
July,695,1148,8100,4742,3873,2020
August,1128,1286,13273,5033,7146,2020
September,268,2279,17707,6486,9351,2020
October,1128,1963,13441,5617,9577,2020
November,1763,2597,13212,7487,11927,2020
December,3574,7365,25125,12015,15943,2020
January,5329,3810,22254,5905,14320,2021
February,3036,4721,15209,4498,9932,2021
March,3193,4443,17045,5828,12179,2021
April,2453,6458,21642,9104,14499,2021
May,2025,3021,13071,8659,12609,2021
June,5342,4443,17366,12530,20078,2021
July,1199,3976,18227,9626,11179,2021
August,2138,3302,14058,8004,9383,2021
September,455,4335,27935,9038,15158,2021
October,3537,5318,19404,9142,17644,2021
