Bulan,Belawan,Tanjung Priok,Tanjung Perak,Balikpapan,Makassar,Tahun
January,6034,7686,19393,16300,25594,2016
February,3478,7714,14398,11895,17667,2016
March,2727,6971,14091,4037,16722,2016
April,2298,7231,11881,5367,17899,2016
May,3368,6591,19115,10403,22464,2016
June,6476,13556,35624,43096,31039,2016
July,13722,21558,50645,23489,54750,2016
August,4326,17084,17152,16530,33808,2016
September,3908,8493,16066,12843,27196,2016
October,2563,10708,11786,17407,24935,2016
November,2040,7856,9047,3496,20289,2016
December,13605,8529,15514,12416,28691,2016
January,7128,7165,21797,14629,25141,2017
February,3114,6393,11438,5429,16464,2017
March,3580,6386,12827,8732,19334,2017
April,3851,6755,11907,9502,18082,2017
May,3515,7112,16460,9571,22125,2017
June,14670,12819,55242,9571,34098,2017
July,8366,23362,35977,45116,52681,2017
August,3329,9764,44151,13613,25892,2017
September,2513,6283,15119,12941,23359,2017
October,1793,5432,14631,11229,20269,2017
November,1591,4780,11517,12085,18799,2017
December,15392,9610,20478,11256,24600,2017
January,4820,6418,12994,13860,21392,2018
February,2050,6668,10736,7817,12730,2018
March,2109,4538,14736,21809,16473,2018
April,2222,5392,8843,17796,13409,2018
May,2804,5550,23935,9373,20405,2018
June,9277,22681,88070,23523,45475,2018
July,4917,12963,23493,36393,38945,2018
August,2792,8323,18999,12271,22200,2018
September,4732,7737,19659,9802,20269,2018
October,20633,6100,15304,11923,19188,2018
November,2955,6906,14017,15093,20443,2018
December,15548,16420,24110,13982,33443,2018
January,10731,13354,17872,20809,27767,2019
February,19408,12472,25316,14085,22176,2019
March,8662,17126,21315,14367,25457,2019
April,11718,22801,25079,12090,29144,2019
May,17570,26220,48207,14952,48434,2019
June,24054,38871,86097,46213,82737,2019
July,138994,35247,24543,43664,55381,2019
August,9391,19331,26665,20527,37091,2019
September,8548,20490,35142,16397,37232,2019
October,2163,16307,35679,17226,35435,2019
November,5097,15323,33711,16069,30922,2019
December,16496,29087,48058,16564,47845,2019
January,14335,16507,13339,24966,36310,2020
February,7369,11787,13035,13936,22984,2020
March,6305,11711,34898,11528,24327,2020
April,820,3552,15734,2143,2345,2020
May,0,2,3346,95,198,2020
June,45,660,10350,2134,2876,2020
July,1457,753,11511,4381,5763,2020
August,1031,1889,9343,5788,9587,2020
September,312,2584,14945,7053,11533,2020
October,1031,2085,13195,5098,9302,2020
November,1830,2699,11100,7516,10991,2020
December,7364,6397,22150,8346,16268,2020
January,2258,2841,17117,11196,13486,2021
February,2076,4362,14965,7109,9740,2021
March,2633,4070,17744,6843,10959,2021
April,2658,5318,35530,8272,12649,2021
May,2140,2364,15556,6546,13474,2021
June,4661,4070,8939,19838,23053,2021
July,1964,3533,18792,11317,12688,2021
August,1835,2768,14588,8552,10292,2021
September,375,4750,33440,9715,14711,2021
October,2984,7162,25388,10533,16498,2021
